width	reads.per.mb.bpr	type
11168	254	diploid
64066	254	diploid
146505	254	diploid
75069	254	diploid
17863	254	diploid
57855	254	diploid
60720	254	diploid
121965	254	diploid
14070	254	diploid
391	254	diploid
27929	254	diploid
219400	254	diploid
25761	254	diploid
3487	254	diploid
7988	244	diploid
25328	244	diploid
216223	244	diploid
9396	244	diploid
14411	244	diploid
29151	244	diploid
1817	244	diploid
17249	244	diploid
48526	244	diploid
14613	244	diploid
6755	244	diploid
122924	244	diploid
620	244	diploid
7579	244	diploid
8457	244	diploid
16735	244	diploid
187292	244	diploid
1	244	diploid
5448	244	diploid
5149	244	diploid
23747	244	diploid
2201	244	diploid
219379	244	diploid
2163953	244	diploid
781801	244	diploid
42432	244	diploid
2338	244	diploid
22227	244	diploid
20187	244	diploid
27674	244	diploid
6159	244	diploid
74975	244	diploid
124007	351	diploid
45690	351	diploid
11349	351	diploid
156626	351	diploid
128609	351	diploid
177	351	diploid
2893	351	diploid
390327	351	diploid
118727	351	diploid
123531	351	diploid
3799	351	diploid
875583	351	diploid
85558	351	diploid
1715	351	diploid
15530	351	diploid
115676	351	diploid
230185	351	diploid
21036	351	diploid
419	351	diploid
5944	351	diploid
6956	351	diploid
308	351	diploid
45380	351	diploid
119479	351	diploid
176444	351	diploid
15009	351	diploid
54	351	diploid
138289	351	diploid
241096	351	diploid
85056	351	diploid
226893	351	diploid
91239	267	diploid
11619	267	diploid
7317	267	diploid
3778	267	diploid
8829	267	diploid
1012532	267	diploid
10678	267	diploid
13707	267	diploid
3505	267	diploid
7478	267	diploid
30168	267	diploid
13665	267	diploid
1407	267	diploid
24231	267	diploid
43889	267	diploid
2805	267	diploid
31646	267	diploid
701	267	diploid
5333	267	diploid
104588	267	diploid
4040	267	diploid
8523	267	diploid
261508	267	diploid
2457	267	diploid
61567	267	diploid
11970	267	diploid
2616	267	diploid
17820	267	diploid
300598	88	diploid
76111	88	diploid
9266	88	diploid
147433	88	diploid
978	88	diploid
97817	88	diploid
375544	88	diploid
51170	88	diploid
39613	88	diploid
11868	88	diploid
30406	88	diploid
22322	88	diploid
49272	88	diploid
76646	88	diploid
782547	88	diploid
2880260	88	diploid
432354	88	diploid
89846	88	diploid
4136	88	diploid
29663	88	diploid
19109	88	diploid
322978	88	diploid
647658	88	diploid
619353	88	diploid
2929	88	diploid
10324	61	diploid
5426	61	diploid
41994	61	diploid
20323	61	diploid
294535	61	diploid
111480	61	diploid
4534	61	diploid
40424	61	diploid
113980	61	diploid
31187	61	diploid
199662	61	diploid
120730	61	diploid
104742	61	diploid
11928	61	diploid
135366	61	diploid
1	61	diploid
2669	61	diploid
304356	61	diploid
67898	61	diploid
62893	61	diploid
62125	61	diploid
111522	61	diploid
32829	61	diploid
25084	61	diploid
17979	61	diploid
2756	61	diploid
255649	48	diploid
2060458	48	diploid
39509	48	diploid
43929	48	diploid
110274	48	diploid
2530717	48	diploid
306136	48	diploid
3356	48	diploid
489068	48	diploid
257830	48	diploid
20946	48	diploid
279325	132	diploid
51090	132	diploid
30199	132	diploid
214855	132	diploid
49382	132	diploid
72113	132	diploid
856802	132	diploid
2903655	132	diploid
341198	132	diploid
4064	132	diploid
298878	132	diploid
324848	132	diploid
306744	132	diploid
261294	132	diploid
36135	132	diploid
53651	132	diploid
35551	132	diploid
12919	132	diploid
14090	132	diploid
16995	132	diploid
175298	132	diploid
628616	132	diploid
2220	132	diploid
163448	132	diploid
138205	132	diploid
221700	132	diploid
27111	132	diploid
67243	132	diploid
15615	132	diploid
124858	132	diploid
195344	132	diploid
2420	352	diploid
4346	352	diploid
39422	352	diploid
15659	352	diploid
4444	352	diploid
12583	352	diploid
1633	352	diploid
17984	352	diploid
116027	352	diploid
25748	352	diploid
605661	352	diploid
3553	352	diploid
392	352	diploid
321092	352	diploid
125716	352	diploid
2893	352	diploid
1510	352	diploid
138006	352	diploid
133862	352	diploid
72603	352	diploid
22866	352	diploid
9134	352	diploid
34714	352	diploid
8758	352	diploid
18947	352	diploid
218567	352	diploid
33238	352	diploid
52625	352	diploid
55896	352	diploid
10008	352	diploid
207305	352	diploid
26168	287	diploid
11763	287	diploid
12636	287	diploid
94610	287	diploid
47204	287	diploid
224227	287	diploid
322888	287	diploid
59909	287	diploid
18992	287	diploid
88413	287	diploid
87045	287	diploid
25517	287	diploid
301327	287	diploid
11843	287	diploid
3619	287	diploid
1778	287	diploid
95420	287	diploid
3111	287	diploid
11406	287	diploid
8814	287	diploid
7587	287	diploid
12690	287	diploid
12051	287	diploid
23157	287	diploid
140919	287	diploid
1	287	diploid
132932	287	diploid
17431	287	diploid
15559	287	diploid
165351	287	diploid
39851	287	diploid
145210	287	diploid
1601	287	diploid
124184	287	diploid
165813	287	diploid
236947	287	diploid
1554	287	diploid
55147	287	diploid
522977	287	diploid
20597	287	diploid
123361	287	diploid
126952	287	diploid
2215901	287	diploid
16033	150	diploid
22169	150	diploid
5644	150	diploid
196776	150	diploid
422754	150	diploid
4906	150	diploid
30392	150	diploid
3206	150	diploid
675293	150	diploid
159853	150	diploid
5983	150	diploid
83246	150	diploid
11785	150	diploid
36792	150	diploid
92137	150	diploid
54573	150	diploid
67370	150	diploid
183364	150	diploid
2911	150	diploid
115871	150	diploid
2822	150	diploid
171703	124	diploid
5466	124	diploid
15669	124	diploid
61333	124	diploid
183900	124	diploid
8829	124	diploid
7201	124	diploid
10380	124	diploid
231204	124	diploid
463678	124	diploid
2250	124	diploid
155711	124	diploid
153191	124	diploid
47551	124	diploid
127237	124	diploid
43459	124	diploid
324698	124	diploid
154397	124	diploid
26736	124	diploid
4106	124	diploid
85432	124	diploid
73304	124	diploid
57244	124	diploid
1706655	124	diploid
315031	124	diploid
3840	133	diploid
60327	133	diploid
956709	133	diploid
199604	133	diploid
119428	133	diploid
1665	133	diploid
59653	133	diploid
40074	133	diploid
16362	133	diploid
300359	133	diploid
22917	133	diploid
20208	133	diploid
6566	133	diploid
88921	133	diploid
39014	133	diploid
21744	133	diploid
1226488	133	diploid
105323	133	diploid
20844	133	diploid
411209	133	diploid
220064	133	diploid
312363	133	diploid
725017	133	diploid
127781	133	diploid
3737	133	diploid
5064	133	diploid
274013	133	diploid
129511	133	diploid
7473	130	diploid
553640	130	diploid
482769	130	diploid
166411	130	diploid
132066	130	diploid
28090	130	diploid
260210	130	diploid
53183	130	diploid
21321	130	diploid
16917	130	diploid
1054	130	diploid
114971	130	diploid
9716	130	diploid
452937	130	diploid
5355	130	diploid
125461	130	diploid
6645	130	diploid
613227	130	diploid
268078	130	diploid
10306	130	diploid
255036	130	diploid
574763	130	diploid
396098	130	diploid
15039224	130	diploid
311858	130	diploid
785807	130	diploid
22046	295	diploid
1354	295	diploid
3576	295	diploid
1379	295	diploid
478068	295	diploid
190140	295	diploid
42590	295	diploid
215	295	diploid
6789	295	diploid
8473	295	diploid
15382	295	diploid
802809	295	diploid
101737	295	diploid
244181	295	diploid
2896491	295	diploid
8550	295	diploid
5363	295	diploid
8075	295	diploid
7198	295	diploid
15127	295	diploid
2434	295	diploid
5409	295	diploid
638831	295	diploid
154976	295	diploid
97353	295	diploid
398597	295	diploid
9146	295	diploid
4471	295	diploid
6715	295	diploid
324	295	diploid
