width	reads.per.mb.bpr	type
44612	46	haploid
485422	46	haploid
16453	46	haploid
34404	46	haploid
526953	46	haploid
13956	46	haploid
31634	64	haploid
45061	64	haploid
23985	64	haploid
459105	64	haploid
25626	64	haploid
10631	64	haploid
120966	42	haploid
131173	42	haploid
97949	42	haploid
29607	42	haploid
70881	61	haploid
25477	61	haploid
59351	61	haploid
23865	61	haploid
19144	61	haploid
6375	61	haploid
11699	61	haploid
21091	61	haploid
19431	61	haploid
29954	61	haploid
1605	61	haploid
61086	61	haploid
4644	61	haploid
18661	99	haploid
18726	99	haploid
23387	99	haploid
2732	99	haploid
47026	99	haploid
47	99	haploid
31825	99	haploid
8938	99	haploid
24884	99	haploid
14300	99	haploid
55415	99	haploid
43604	99	haploid
10838	99	haploid
27627	99	haploid
22788	99	haploid
45297	99	haploid
22162	99	haploid
2298	99	haploid
16173	99	haploid
42866	99	haploid
9474	99	haploid
46458	40	haploid
5037	40	haploid
3125	40	haploid
912490	40	haploid
21516	40	haploid
114552	46	haploid
120531	46	haploid
49611	46	haploid
55497	46	haploid
43909	46	haploid
2840293	46	haploid
8931	46	haploid
48134	36	haploid
41650	36	haploid
33084	36	haploid
66355	36	haploid
118044	36	haploid
12866	36	haploid
80364	36	haploid
40619	36	haploid
92836	36	haploid
659445	36	haploid
54694	36	haploid
19558	36	haploid
88990	36	haploid
46373	36	haploid
72889	36	haploid
59088	36	haploid
55714	36	haploid
17390	36	haploid
120174	36	haploid
19769	36	haploid
18125	36	haploid
858630	36	haploid
38111	36	haploid
43571	100	haploid
21430	100	haploid
10202	100	haploid
11255	100	haploid
11008	100	haploid
36177	100	haploid
6433	100	haploid
21019	100	haploid
14071	100	haploid
37795	100	haploid
9056	100	haploid
16001	168	haploid
21113	168	haploid
1618	168	haploid
4793	168	haploid
10513	168	haploid
21313	168	haploid
12929	160	haploid
48127	160	haploid
7382	152	haploid
9265	152	haploid
24328	152	haploid
15972	152	haploid
9962	152	haploid
17576	152	haploid
2996	152	haploid
20296	139	haploid
39305	139	haploid
7949	139	haploid
22852	139	haploid
23060	139	haploid
21987	139	haploid
25580	139	haploid
61268	171	haploid
13728	171	haploid
1455	171	haploid
5081	171	haploid
21336	171	haploid
44270	106	haploid
5859	106	haploid
5796	106	haploid
24575	135	haploid
10362	135	haploid
8116	135	haploid
21940	135	haploid
4881	62	haploid
23976	62	haploid
27045	62	haploid
4660	62	haploid
15239	62	haploid
44066	62	haploid
9298	185	haploid
28816	185	haploid
14730	185	haploid
10060	185	haploid
2750	185	haploid
27186	185	haploid
27938	185	haploid
24191	185	haploid
9964	185	haploid
8960	185	haploid
13474	99	haploid
26847	99	haploid
21817	99	haploid
11598	121	haploid
27685	121	haploid
33925	159	haploid
26028	159	haploid
62177	159	haploid
6945	159	haploid
11125	159	haploid
9813	159	haploid
14323	159	haploid
22665	159	haploid
13425	159	haploid
9112	159	haploid
4115	172	haploid
9615	172	haploid
14775	172	haploid
21865	136	haploid
25242	136	haploid
19269	136	haploid
2392	136	haploid
15966	136	haploid
28460	139	haploid
6163	139	haploid
11028	206	haploid
3536	206	haploid
16009	206	haploid
15522	206	haploid
23284	206	haploid
778	206	haploid
17052	206	haploid
6347	206	haploid
2581	206	haploid
8380	206	haploid
22318	206	haploid
70588	140	haploid
14262	140	haploid
6227	140	haploid
36637	140	haploid
12332	140	haploid
7224	140	haploid
40952	140	haploid
1190	140	haploid
46677	140	haploid
17932	140	haploid
343311	177	haploid
3316	177	haploid
10915	177	haploid
43533	177	haploid
15621	177	haploid
3585	177	haploid
20085	157	haploid
16541	157	haploid
6115	157	haploid
7495	157	haploid
4257	157	haploid
5698	157	haploid
3306	157	haploid
10421	157	haploid
26313	155	haploid
13441	155	haploid
24723	155	haploid
41550	155	haploid
2642	155	haploid
2325	155	haploid
19261	172	haploid
11319	172	haploid
15157	172	haploid
18553	172	haploid
5967	172	haploid
14595	172	haploid
439	172	haploid
360	68	haploid
23721	68	haploid
51756	68	haploid
33857	68	haploid
14433	118	haploid
37852	118	haploid
10678	118	haploid
27735	118	haploid
8276	118	haploid
16563	118	haploid
20328	118	haploid
71159	104	haploid
9576	104	haploid
1734	104	haploid
20123	104	haploid
13820	124	haploid
5644	124	haploid
18658	124	haploid
16377	124	haploid
415	124	haploid
25239	124	haploid
14837	124	haploid
28291	124	haploid
33315	124	haploid
41445	124	haploid
8242	124	haploid
6336	159	haploid
21691	159	haploid
9410	159	haploid
26215	159	haploid
37869	159	haploid
14712	159	haploid
45587	159	haploid
5027	159	haploid
9064	159	haploid
13182	159	haploid
273	159	haploid
14227	83	haploid
20414	83	haploid
27911	83	haploid
16004	83	haploid
2047	83	haploid
20609	83	haploid
36321	83	haploid
11966	140	haploid
22361	140	haploid
7393	140	haploid
15290	140	haploid
1756	140	haploid
15624	140	haploid
12019	187	haploid
9455	187	haploid
15256	187	haploid
13114	187	haploid
24796	187	haploid
24491	357	haploid
2086	357	haploid
6982	357	haploid
57	357	haploid
1483	357	haploid
12220	296	haploid
12174	296	haploid
44840	296	haploid
3554	296	haploid
6067	296	haploid
2421	296	haploid
570	296	haploid
31243	296	haploid
135894	296	haploid
16353	296	haploid
7120	333	haploid
8094	333	haploid
5456	333	haploid
94737	179	haploid
5061	179	haploid
10156	179	haploid
6035	179	haploid
268	267	haploid
368	267	haploid
11472	267	haploid
732	267	haploid
12363	267	haploid
23517	267	haploid
15001	267	haploid
10249	267	haploid
9626	267	haploid
34129	96	haploid
45725	96	haploid
11473	96	haploid
28471	259	haploid
20081	259	haploid
6148	259	haploid
17497	259	haploid
5427	259	haploid
2731	259	haploid
11152	259	haploid
4811	259	haploid
7067	438	haploid
5114	438	haploid
9654	438	haploid
10418	438	haploid
7498	227	haploid
8448	227	haploid
5215	227	haploid
12947	227	haploid
19111	227	haploid
31533	227	haploid
17183	227	haploid
9426	227	haploid
26665	227	haploid
14482	227	haploid
15882	424	haploid
23939	424	haploid
12648	424	haploid
34424	197	haploid
517	197	haploid
30270	197	haploid
