library	background	readsPerMb	cov.bpr
recql1-1-100uv-f05-r2-c5_S208_.processed.bam	0.0723535256462463	78	0.57
recql1-1-100uv-f05-r2-c6_S209_.processed.bam	0.0384974991603351	91	0.64
recql1-1-100uv-f05-r3-c1_S211_.processed.bam	0.0373457585052331	59	0.41
recql1-1-100uv-f05-r3-c2_S212_.processed.bam	0.0485425157145817	55	0.34
recql1-1-100uv-f05-r3-c3_S213_.processed.bam	0.0259766164421395	63	0.45
recql1-1-100uv-f05-r3-c4_S214_.processed.bam	0.0280163936506325	51	0.36
recql1-1-100uv-f05-r3-c5_S215_.processed.bam	0.142256277849498	76	0.59
recql1-1-100uv-f05-r3-c6_S216_.processed.bam	0.0281087486011454	64	0.45
recql1-1-100uv-f05-r4-c1_S218_.processed.bam	0.0324341512533786	54	0.39
recql1-1-100uv-f05-r4-c2_S219_.processed.bam	0.0492903509737045	10	0.08
recql1-1-100uv-f05-r4-c3_S220_.processed.bam	0.0316644760425379	67	0.47
recql1-1-100uv-f05-r4-c5_S222_.processed.bam	0.0456598403761678	14	0.12
recql1-1-100uv-f05-r4-c6_S223_.processed.bam	0.0313122773114319	62	0.44
recql1-1-100uv-f05-r5-c2_S226_.processed.bam	0.0242340726309412	63	0.46
recql1-1-100uv-f05-r5-c3_S227_.processed.bam	0.0366492146596859	17	0.14
recql1-1-100uv-f05-r5-c4_S228_.processed.bam	0.0383535089801408	43	0.31
recql1-1-100uv-f05-r5-c5_S229_.processed.bam	0.0290029941457747	67	0.47
recql1-1-100uv-f05-r5-c6_S230_.processed.bam	0.0323974918070859	57	0.41
recql1-1-100uv-f05-r6-c1_S232_.processed.bam	0.0215447154471545	29	0.21
recql1-1-100uv-f05-r6-c2_S233_.processed.bam	0.0271307037896365	70	0.48
recql1-1-100uv-f05-r6-c3_S234_.processed.bam	0.22392034271159	42	0.31
recql1-1-100uv-f05-r6-c4_S235_.processed.bam	0.0560523484487715	51	0.36
recql1-1-200uv-f06-r1-c1_S246_.processed.bam	0.020788416204562	67	0.47
recql1-1-200uv-f06-r1-c2_S247_.processed.bam	0.0233191506854946	76	0.53
recql1-1-200uv-f06-r1-c3_S248_.processed.bam	0.0215676911500839	78	0.55
recql1-1-200uv-f06-r1-c4_S249_.processed.bam	0.0298540798094104	57	0.37
recql1-1-200uv-f06-r1-c5_S250_.processed.bam	0.0284889713461142	14	0.11
recql1-1-200uv-f06-r1-c6_S251_.processed.bam	0.5	4	0.06
recql1-1-200uv-f06-r2-c1_S253_.processed.bam	0.0237190445953207	70	0.49
recql1-1-200uv-f06-r2-c2_S254_.processed.bam	0.156882850551141	7	0.07
recql1-1-200uv-f06-r2-c3_S255_.processed.bam	0.0250534631161577	74	0.52
recql1-1-200uv-f06-r2-c4_S256_.processed.bam	0.0306403731976251	48	0.31
recql1-1-200uv-f06-r2-c5_S257_.processed.bam	0.0265799011926265	60	0.42
recql1-1-200uv-f06-r2-c6_S258_.processed.bam	0.0201871249872877	71	0.5
recql1-1-200uv-f06-r3-c2_S261_.processed.bam	0.0829129806595524	82	0.62
recql1-1-200uv-f06-r3-c3_S262_.processed.bam	0.05625085957915	5	0.05
recql1-1-200uv-f06-r3-c4_S263_.processed.bam	0.043590701416626	29	0.23
recql1-1-200uv-f06-r3-c5_S264_.processed.bam	0.0552461482174072	34	0.22
recql1-1-200uv-f06-r3-c6_S265_.processed.bam	0.0739678421384621	68	0.48
recql1-1-200uv-f06-r4-c1_S267_.processed.bam	0.0501073210349228	48	0.34
recql1-1-200uv-f06-r4-c2_S268_.processed.bam	0.0235530795419375	44	0.29
recql1-1-200uv-f06-r4-c3_S269_.processed.bam	0.0327911005250907	49	0.31
recql1-1-200uv-f06-r4-c4_S270_.processed.bam	0.0216166549798099	56	0.4
recql1-1-200uv-f06-r4-c5_S271_.processed.bam	0.0262801028758476	49	0.35
recql1-1-200uv-f06-r4-c6_S272_.processed.bam	0.0263853590631026	57	0.41
recql1-1-200uv-f06-r5-c1_S274_.processed.bam	0.0271313784827298	68	0.48
recql1-1-200uv-f06-r5-c2_S275_.processed.bam	0.0220309503634661	38	0.25
recql1-1-200uv-f06-r5-c3_S276_.processed.bam	0.0359852686692994	15	0.12
recql1-1-200uv-f06-r5-c5_S278_.processed.bam	0.0342995447473059	66	0.47
recql1-1-200uv-f06-r5-c6_S279_.processed.bam	0.241652892561983	71	0.55
recql1-1-200uv-f06-r6-c1_S281_.processed.bam	0.0229213305069636	26	0.18
recql1-1-200uv-f06-r6-c2_S282_.processed.bam	0.0333229523512924	13	0.1
recql1-1-200uv-f06-r6-c3_S283_.processed.bam	0.0243761329887762	34	0.23
recql1-1-200uv-f06-r6-c4_S284_.processed.bam	0.0211334194849812	41	0.29
recql1-1-200uv-f06-r6-c5_S285_.processed.bam	0.0489941808512957	43	0.3
recql5-wrn-1-100uv-f07-r1-c1_S295_.processed.bam	0.0914297022845057	255	1.78
recql5-wrn-1-100uv-f07-r1-c2_S296_.processed.bam	0.102121223438025	238	1.71
recql5-wrn-1-100uv-f07-r1-c3_S297_.processed.bam	0.0473332361834675	249	1.72
recql5-wrn-1-100uv-f07-r1-c4_S298_.processed.bam	0.0531968776069598	243	1.77
recql5-wrn-1-100uv-f07-r1-c5_S299_.processed.bam	0.0659870656582265	14	0.13
recql5-wrn-1-100uv-f07-r1-c6_S300_.processed.bam	0.128833941359276	16	0.13
recql5-wrn-1-100uv-f07-r2-c1_S302_.processed.bam	0.0310366907083228	237	1.64
recql5-wrn-1-100uv-f07-r2-c2_S303_.processed.bam	0.0191546580069008	134	0.95
recql5-wrn-1-100uv-f07-r2-c3_S304_.processed.bam	0.0548901686968044	25	0.22
recql5-wrn-1-100uv-f07-r2-c4_S305_.processed.bam	0.0556368960468521	11	0.09
recql5-wrn-1-100uv-f07-r2-c5_S306_.processed.bam	0.02825715564732	242	1.67
recql5-wrn-1-100uv-f07-r2-c6_S307_.processed.bam	0.060071413568578	18	0.15
recql5-wrn-1-100uv-f07-r3-c1_S309_.processed.bam	0.0885002985290659	278	2.04
recql5-wrn-1-100uv-f07-r3-c2_S310_.processed.bam	0.0618909823591195	254	1.75
recql5-wrn-1-100uv-f07-r3-c3_S311_.processed.bam	0.354243542435424	213	1.67
recql5-wrn-1-100uv-f07-r3-c4_S312_.processed.bam	0.0650476826557761	154	1.05
recql5-wrn-1-100uv-f07-r3-c5_S313_.processed.bam	0.0585090068058791	167	1.16
recql5-wrn-1-100uv-f07-r3-c6_S314_.processed.bam	0.0270927117567456	230	1.59
recql5-wrn-1-100uv-f07-r4-c1_S316_.processed.bam	0.0511955855303495	21	0.19
recql5-wrn-1-100uv-f07-r4-c2_S317_.processed.bam	0.0680144523816091	250	1.78
recql5-wrn-1-100uv-f07-r4-c3_S318_.processed.bam	0.0701904724808164	265	1.88
recql5-wrn-1-100uv-f07-r4-c4_S319_.processed.bam	0.0377865123243492	225	1.56
recql5-wrn-1-100uv-f07-r4-c5_S320_.processed.bam	0.0394470813845526	189	1.3
recql5-wrn-1-100uv-f07-r4-c6_S321_.processed.bam	0.0416519434628975	28	0.22
recql5-wrn-1-100uv-f07-r5-c1_S323_.processed.bam	0.0891930395848173	16	0.13
recql5-wrn-1-100uv-f07-r5-c2_S324_.processed.bam	0.0602870620692433	217	1.55
recql5-wrn-1-100uv-f07-r5-c3_S325_.processed.bam	0.104038275482751	293	2.3
recql5-wrn-1-100uv-f07-r5-c4_S326_.processed.bam	0.0271532562622767	230	1.62
recql5-wrn-1-100uv-f07-r5-c5_S327_.processed.bam	0.0253399609156443	244	1.68
recql5-wrn-1-100uv-f07-r5-c6_S328_.processed.bam	0.0972392841727813	214	1.58
recql5-wrn-1-100uv-f07-r6-c1_S330_.processed.bam	0.0894419707139851	183	1.36
recql5-wrn-1-100uv-f07-r6-c2_S331_.processed.bam	0.0318482880376006	208	1.42
recql5-wrn-1-100uv-f07-r6-c3_S332_.processed.bam	0.08727322363686	124	0.81
recql5-wrn-1-100uv-f07-r6-c4_S333_.processed.bam	0.0311245458619802	132	0.9
recql5-wrn-1-100uv-f07-r6-c5_S334_.processed.bam	0.0318617565848664	180	1.22
recql5-wrn-1-200uv-f08-r1-c1_S344_.processed.bam	0.103534481006484	298	2.25
recql5-wrn-1-200uv-f08-r1-c2_S345_.processed.bam	0.0239230442507523	310	2.15
recql5-wrn-1-200uv-f08-r1-c3_S346_.processed.bam	0.103566759230246	283	1.98
recql5-wrn-1-200uv-f08-r1-c4_S347_.processed.bam	0.0899239345628842	332	2.47
recql5-wrn-1-200uv-f08-r1-c5_S348_.processed.bam	0.0756900429360049	24	0.19
recql5-wrn-1-200uv-f08-r1-c6_S349_.processed.bam	0.0233106239629946	295	2.04
recql5-wrn-1-200uv-f08-r2-c1_S351_.processed.bam	0.0486962479218849	339	2.4
recql5-wrn-1-200uv-f08-r2-c2_S352_.processed.bam	0.120578778135048	18	0.17
recql5-wrn-1-200uv-f08-r2-c3_S353_.processed.bam	0.0429614181438999	35	0.3
recql5-wrn-1-200uv-f08-r2-c4_S354_.processed.bam	0.139901093180635	166	1.19
recql5-wrn-1-200uv-f08-r2-c5_S355_.processed.bam	0.163167503423094	59	0.6
recql5-wrn-1-200uv-f08-r3-c1_S358_.processed.bam	0.0996214890963052	338	2.47
recql5-wrn-1-200uv-f08-r3-c2_S359_.processed.bam	0.02958349552355	323	2.23
recql5-wrn-1-200uv-f08-r3-c3_S360_.processed.bam	0.0726218675975564	17	0.14
recql5-wrn-1-200uv-f08-r3-c4_S361_.processed.bam	0.106496272630458	16	0.15
recql5-wrn-1-200uv-f08-r3-c5_S362_.processed.bam	0.0196604276096767	282	1.91
recql5-wrn-1-200uv-f08-r3-c6_S363_.processed.bam	0.0222341073106195	339	2.33
recql5-wrn-1-200uv-f08-r4-c1_S365_.processed.bam	0.0221824499577976	265	1.9
recql5-wrn-1-200uv-f08-r4-c2_S366_.processed.bam	0.141381091785776	29	0.26
recql5-wrn-1-200uv-f08-r4-c3_S367_.processed.bam	0.0407781406291542	289	2.01
recql5-wrn-1-200uv-f08-r4-c4_S368_.processed.bam	0.0179808801593075	285	1.98
recql5-wrn-1-200uv-f08-r4-c5_S369_.processed.bam	0.0268934061138966	262	1.81
recql5-wrn-1-200uv-f08-r4-c6_S370_.processed.bam	0.0462899809280646	337	2.35
recql5-wrn-1-200uv-f08-r5-c1_S372_.processed.bam	0.0293860055845775	281	1.93
recql5-wrn-1-200uv-f08-r5-c2_S373_.processed.bam	0.0212603534486049	257	1.78
recql5-wrn-1-200uv-f08-r5-c3_S374_.processed.bam	0.064359305495767	343	2.53
recql5-wrn-1-200uv-f08-r5-c4_S375_.processed.bam	0.0296302008565768	369	2.56
recql5-wrn-1-200uv-f08-r5-c5_S376_.processed.bam	0.128867694355107	22	0.21
recql5-wrn-1-200uv-f08-r5-c6_S377_.processed.bam	0.113377392889699	271	2.04
recql5-wrn-1-200uv-f08-r6-c1_S379_.processed.bam	0.0282266301937747	286	1.98
recql5-wrn-1-200uv-f08-r6-c2_S380_.processed.bam	0.101308569016463	291	2.11
recql5-wrn-1-200uv-f08-r6-c3_S381_.processed.bam	0.101058537944208	202	1.39
recql5-wrn-1-200uv-f08-r6-c4_S382_.processed.bam	0.0335488892561455	208	1.4
recql5-wrn-1-200uv-f08-r6-c5_S383_.processed.bam	0.0291651778547645	266	1.78
recql5-wrn-6-100uv-f09-r1-c1_S393_.processed.bam	0.0275691775068096	324	2.14
recql5-wrn-6-100uv-f09-r1-c2_S394_.processed.bam	0.227272727272727	211	1.56
recql5-wrn-6-100uv-f09-r1-c3_S395_.processed.bam	0.0247145005283264	316	2.1
recql5-wrn-6-100uv-f09-r1-c4_S396_.processed.bam	0.0594987348851474	337	2.35
recql5-wrn-6-100uv-f09-r1-c5_S397_.processed.bam	0.142322097378277	30	0.34
recql5-wrn-6-100uv-f09-r1-c6_S398_.processed.bam	0.030871880847749	283	1.91
recql5-wrn-6-100uv-f09-r2-c1_S400_.processed.bam	0.0671632948498009	329	2.28
recql5-wrn-6-100uv-f09-r2-c2_S401_.processed.bam	0.114750944163776	210	1.53
recql5-wrn-6-100uv-f09-r2-c3_S402_.processed.bam	0.0950209377577565	339	2.4
recql5-wrn-6-100uv-f09-r2-c4_S403_.processed.bam	0.0285229665444904	193	1.26
recql5-wrn-6-100uv-f09-r2-c5_S404_.processed.bam	0.104428191029498	246	1.75
recql5-wrn-6-100uv-f09-r2-c6_S405_.processed.bam	0.142755308134897	409	3.11
recql5-wrn-6-100uv-f09-r3-c1_S407_.processed.bam	0.0284892657047945	334	2.26
recql5-wrn-6-100uv-f09-r3-c2_S408_.processed.bam	0.0903984751920901	368	2.56
recql5-wrn-6-100uv-f09-r3-c3_S409_.processed.bam	0.0290045790435813	236	1.58
recql5-wrn-6-100uv-f09-r3-c5_S411_.processed.bam	0.144517787253928	41	0.37
recql5-wrn-6-100uv-f09-r3-c6_S412_.processed.bam	0.0356686070089405	323	2.21
recql5-wrn-6-100uv-f09-r4-c1_S414_.processed.bam	0.0652017178144886	189	1.41
recql5-wrn-6-100uv-f09-r4-c2_S415_.processed.bam	0.0298551198702485	314	2.09
recql5-wrn-6-100uv-f09-r4-c3_S416_.processed.bam	0.0461741649625085	355	2.35
recql5-wrn-6-100uv-f09-r4-c4_S417_.processed.bam	0.0355975961642766	269	1.78
recql5-wrn-6-100uv-f09-r4-c5_S418_.processed.bam	0.0396574294486127	238	1.58
recql5-wrn-6-100uv-f09-r4-c6_S419_.processed.bam	0.0769538170531896	357	2.62
recql5-wrn-6-100uv-f09-r5-c1_S421_.processed.bam	0.122190592070525	71	0.62
recql5-wrn-6-100uv-f09-r5-c2_S422_.processed.bam	0.187641980917765	299	2.28
recql5-wrn-6-100uv-f09-r5-c3_S423_.processed.bam	0.0969009812172272	363	2.57
recql5-wrn-6-100uv-f09-r5-c4_S424_.processed.bam	0.0235874504596103	292	1.96
recql5-wrn-6-100uv-f09-r5-c5_S425_.processed.bam	0.0954130423037441	329	2.3
recql5-wrn-6-100uv-f09-r5-c6_S426_.processed.bam	0.133903647711947	285	2.04
recql5-wrn-6-100uv-f09-r6-c1_S428_.processed.bam	0.121928184205058	354	2.66
recql5-wrn-6-100uv-f09-r6-c2_S429_.processed.bam	0.149060018367457	129	0.88
recql5-wrn-6-200uv-f10-r1-c1_S442_.processed.bam	0.115514929060493	238	1.64
recql5-wrn-6-200uv-f10-r1-c2_S443_.processed.bam	0.0516423129761459	331	2.25
recql5-wrn-6-200uv-f10-r1-c3_S444_.processed.bam	0.0135334326192386	253	1.67
recql5-wrn-6-200uv-f10-r1-c4_S445_.processed.bam	0.0252082897394617	357	2.34
recql5-wrn-6-200uv-f10-r1-c5_S446_.processed.bam	0.0784223766812715	315	2.19
recql5-wrn-6-200uv-f10-r1-c6_S447_.processed.bam	0.0609466959539898	379	2.55
recql5-wrn-6-200uv-f10-r2-c1_S449_.processed.bam	0.0506021348515265	427	2.97
recql5-wrn-6-200uv-f10-r2-c2_S450_.processed.bam	0.0109493442425701	182	1.24
recql5-wrn-6-200uv-f10-r2-c3_S451_.processed.bam	0.0486672639713294	330	2.24
recql5-wrn-6-200uv-f10-r2-c4_S452_.processed.bam	0.0284699998251229	187	1.22
recql5-wrn-6-200uv-f10-r2-c5_S453_.processed.bam	0.0146282090293237	315	2.08
recql5-wrn-6-200uv-f10-r2-c6_S454_.processed.bam	0.11010665560247	413	2.92
recql5-wrn-6-200uv-f10-r3-c1_S456_.processed.bam	0.016698312559336	341	2.24
recql5-wrn-6-200uv-f10-r3-c2_S457_.processed.bam	0.095455219877421	357	2.44
