file	quality_manual	coverage	spikiness	evenness.mean	evenness.med	end	background	reads.per.mb.bpr	coverage.bpr	gene
blm-2-100uv-f01-r1-c2_S2_.processed.bam	G	0.023550039	0.116345436	0.210274054	0.19837478	se	0.030386143	320	2.1	BLM
blm-2-100uv-f01-r1-c3_S3_.processed.bam	G	0.027232773	0.102074837	0.204329837	0.191894174	se	0.03655476	352	2.37	BLM
blm-2-100uv-f01-r1-c4_S4_.processed.bam	G	0.026616346	0.102964482	0.209933055	0.199766415	se	0.028021817	358	2.37	BLM
blm-2-100uv-f01-r1-c5_S5_.processed.bam	G	0.026272087	0.105281764	0.212489898	0.198948012	se	0.034066835	345	2.29	BLM
blm-2-100uv-f01-r1-c6_S6_.processed.bam	G	0.032017427	0.097236038	0.204483518	0.192582226	se	0.036528089	420	2.81	BLM
blm-2-100uv-f01-r2-c2_S9_.processed.bam	G	0.014310509	0.12586352	0.209936016	0.202812178	se	0.020523219	177	1.23	BLM
blm-2-100uv-f01-r2-c3_S10_.processed.bam	G	0.022071729	0.109147887	0.211717516	0.200739627	se	0.026124819	293	1.95	BLM
blm-2-100uv-f01-r2-c6_S13_.processed.bam	G	0.023200246	0.112635611	0.207454838	0.20455013	se	0.02677296	302	2.06	BLM
blm-2-100uv-f01-r3-c2_S16_.processed.bam	G	0.020901138	0.108666886	0.205560472	0.196025512	se	0.033645957	282	1.87	BLM
blm-2-100uv-f01-r3-c4_S18_.processed.bam	G	0.010194425	0.139344802	0.242622302	0.228219471	se	0.022901887	142	0.92	BLM
blm-2-100uv-f01-r3-c5_S19_.processed.bam	G	0.023129469	0.107997104	0.207208246	0.197457925	se	0.021001415	304	2.04	BLM
blm-2-100uv-f01-r3-c6_S20_.processed.bam	G	0.021064687	0.134976301	0.224939949	0.211572971	se	0.03102211	285	1.85	BLM
blm-2-100uv-f01-r4-c2_S23_.processed.bam	P	0.037754592	0.195689058	0.231142391	0.229134109	se	0.117871289	445	3.28	BLM
blm-2-100uv-f01-r4-c4_S25_.processed.bam	G	0.021798475	0.109178353	0.232311134	0.216805537	se	0.02011884	295	1.91	BLM
