library	background	reads.per.mb	coverage
wtfucci-hyd-mn-f02-r6-c6_S46_.trimmed.mdup.bam	0.0851381143820516	20	0.18
wtfucci-hyd-mn-f02-r6-c4_S45_.trimmed.mdup.bam	0.063664268429344	50	0.41
wtfucci-hyd-mn-f02-r6-c2_S44_.trimmed.mdup.bam	0.108801526334287	34	0.3
wtfucci-hyd-mn-f02-r5-c7_S43_.trimmed.mdup.bam	0.0830632577121594	33	0.29
wtfucci-hyd-mn-f02-r5-c5_S42_.trimmed.mdup.bam	0.0986620416253716	58	0.46
wtfucci-hyd-mn-f02-r5-c3_S41_.trimmed.mdup.bam	0.0871513064971751	31	0.27
wtfucci-hyd-mn-f02-r5-c1_S40_.trimmed.mdup.bam	0.0994813767090995	30	0.26
wtfucci-hyd-mn-f02-r4-c6_S39_.trimmed.mdup.bam	0.0802923602219377	34	0.29
wtfucci-hyd-mn-f02-r4-c4_S38_.trimmed.mdup.bam	0.075350353453927	36	0.3
wtfucci-hyd-mn-f02-r4-c2_S37_.trimmed.mdup.bam	0.0814209447663386	30	0.26
wtfucci-hyd-mn-f02-r3-c5_S35_.trimmed.mdup.bam	0.0725930385462381	40	0.35
wtfucci-hyd-mn-f02-r3-c3_S34_.trimmed.mdup.bam	0.092088413785424	26	0.23
wtfucci-hyd-mn-f02-r3-c1_S33_.trimmed.mdup.bam	0.0900786989601273	42	0.35
wtfucci-hyd-mn-f02-r2-c6_S32_.trimmed.mdup.bam	0.0959761207737788	33	0.29
wtfucci-hyd-mn-f02-r2-c4_S31_.trimmed.mdup.bam	0.0798022949679599	51	0.42
wtfucci-hyd-mn-f02-r2-c2_S30_.trimmed.mdup.bam	0.0717919459896353	38	0.32
wtfucci-hyd-mn-f02-r1-c7_S29_.trimmed.mdup.bam	0.0871700131265497	31	0.26
wtfucci-hyd-mn-f02-r1-c5_S28_.trimmed.mdup.bam	0.0959929386728574	49	0.41
wtfucci-hyd-mn-f02-r1-c3_S27_.trimmed.mdup.bam	0.0765727411338389	38	0.31
wtfucci-hyd-mn-f02-r1-c1_S26_.trimmed.mdup.bam	0.0795204272657196	53	0.42
wtfucci-hyd-mn-f01-r7-c5_S24_.trimmed.mdup.bam	0.0533150373171793	19	0.15
wtfucci-hyd-mn-f01-r7-c3_S23_.trimmed.mdup.bam	0.101876302988186	28	0.23
wtfucci-hyd-mn-f01-r7-c1_S22_.trimmed.mdup.bam	0.0845759233926129	18	0.15
wtfucci-hyd-mn-f01-r6-c6_S21_.trimmed.mdup.bam	0.102921032172078	21	0.18
wtfucci-hyd-mn-f01-r6-c2_S19_.trimmed.mdup.bam	0.27122381477398	29	0.28
wtfucci-hyd-mn-f01-r5-c7_S18_.trimmed.mdup.bam	0.082610339797958	51	0.39
wtfucci-hyd-mn-f01-r5-c5_S17_.trimmed.mdup.bam	0.073880439374736	32	0.26
wtfucci-hyd-mn-f01-r5-c3_S16_.trimmed.mdup.bam	0.0919495356291608	30	0.24
wtfucci-hyd-mn-f01-r5-c1_S15_.trimmed.mdup.bam	0.099806736609608	23	0.2
wtfucci-hyd-mn-f01-r4-c4_S13_.trimmed.mdup.bam	0.0868668184405236	30	0.25
wtfucci-hyd-mn-f01-r3-c7_S11_.trimmed.mdup.bam	0.0785894444051576	24	0.21
wtfucci-hyd-mn-f01-r3-c5_S10_.trimmed.mdup.bam	0.080922701713976	44	0.35
wtfucci-hyd-mn-f01-r3-c3_S9_.trimmed.mdup.bam	0.0825241192922913	47	0.36
wtfucci-hyd-mn-f01-r3-c1_S8_.trimmed.mdup.bam	0.0945856782456821	62	0.52
wtfucci-hyd-mn-f01-r2-c6_S7_.trimmed.mdup.bam	0.0728266419561641	31	0.27
wtfucci-hyd-mn-f01-r2-c4_S6_.trimmed.mdup.bam	0.0992769116714837	49	0.39
wtfucci-hyd-mn-f01-r2-c2_S5_.trimmed.mdup.bam	0.0934723699104723	17	0.15
wtfucci-hyd-mn-f01-r1-c7_S4_.trimmed.mdup.bam	0.0729494600724417	30	0.25
wtfucci-hyd-mn-f01-r1-c5_S3_.trimmed.mdup.bam	0.070219560411281	51	0.39
wtfucci-hyd-mn-f01-r1-c3_S2_.trimmed.mdup.bam	0.0883876243696334	28	0.23
wtfucci-hyd-mn-f01-r1-c1_S1_.trimmed.mdup.bam	0.0979870620300135	20	0.17
wtfucci-hyd-a1h5-f11-r7-c5_S224_.trimmed.mdup.bam	0.122027712835719	29	0.25
wtfucci-hyd-a1h5-f11-r7-c3_S223_.trimmed.mdup.bam	0.140986017297675	66	0.56
wtfucci-hyd-a1h5-f11-r7-c1_S222_.trimmed.mdup.bam	0.0661126223872435	213	1.78
wtfucci-hyd-a1h5-f11-r6-c6_S221_.trimmed.mdup.bam	0.117886819645551	42	0.34
wtfucci-hyd-a1h5-f11-r6-c4_S220_.trimmed.mdup.bam	0.0965839703013171	92	0.77
wtfucci-hyd-a1h5-f11-r6-c2_S219_.trimmed.mdup.bam	0.132017160666084	77	0.66
wtfucci-hyd-a1h5-f11-r5-c7_S218_.trimmed.mdup.bam	0.098469526053504	80	0.66
wtfucci-hyd-a1h5-f11-r5-c5_S217_.trimmed.mdup.bam	0.0989221807527294	104	0.85
wtfucci-hyd-a1h5-f11-r5-c3_S216_.trimmed.mdup.bam	0.101031962302388	102	0.84
wtfucci-hyd-a1h5-f11-r5-c1_S215_.trimmed.mdup.bam	0.109934290703956	60	0.51
wtfucci-hyd-a1h5-f11-r4-c6_S214_.trimmed.mdup.bam	0.0883520587969517	98	0.82
wtfucci-hyd-a1h5-f11-r4-c4_S213_.trimmed.mdup.bam	0.0781409423698107	124	1.03
wtfucci-hyd-a1h5-f11-r4-c2_S212_.trimmed.mdup.bam	0.113692013071771	63	0.52
wtfucci-hyd-a1h5-f11-r3-c7_S211_.trimmed.mdup.bam	0.10605392549837	88	0.74
wtfucci-hyd-a1h5-f11-r3-c5_S210_.trimmed.mdup.bam	0.0900796760710554	101	0.87
wtfucci-hyd-a1h5-f11-r3-c3_S209_.trimmed.mdup.bam	0.0874604847207587	79	0.67
wtfucci-hyd-a1h5-f11-r3-c1_S208_.trimmed.mdup.bam	0.108767051872448	74	0.63
wtfucci-hyd-a1h5-f11-r2-c4_S206_.trimmed.mdup.bam	0.082460446158566	120	1.01
wtfucci-hyd-a1h5-f11-r2-c2_S205_.trimmed.mdup.bam	0.105388424417842	76	0.63
wtfucci-hyd-a1h5-f11-r1-c7_S204_.trimmed.mdup.bam	0.102868686238418	90	0.75
wtfucci-hyd-a1h5-f11-r1-c5_S203_.trimmed.mdup.bam	0.090770415045304	111	0.93
wtfucci-hyd-a1h5-f11-r1-c3_S202_.trimmed.mdup.bam	0.107825092615074	94	0.79
wtfucci-hyd-a1h5-f11-r1-c1_S201_.trimmed.mdup.bam	0.11308393360828	79	0.67
wtfucci-hyd-a1h5-f10-r7-c5_S199_.trimmed.mdup.bam	0.135883528404225	38	0.32
wtfucci-hyd-a1h5-f10-r7-c3_S198_.trimmed.mdup.bam	0.0997120790615334	74	0.62
wtfucci-hyd-a1h5-f10-r7-c1_S197_.trimmed.mdup.bam	0.10408841820085	81	0.65
wtfucci-hyd-a1h5-f10-r6-c6_S196_.trimmed.mdup.bam	0.105257149380672	46	0.38
wtfucci-hyd-a1h5-f10-r6-c4_S195_.trimmed.mdup.bam	0.129306040938592	10	0.09
wtfucci-hyd-a1h5-f10-r6-c2_S194_.trimmed.mdup.bam	0.0706439073854994	45	0.35
wtfucci-hyd-a1h5-f10-r5-c7_S193_.trimmed.mdup.bam	0.248340115656457	58	0.54
wtfucci-hyd-a1h5-f10-r5-c5_S192_.trimmed.mdup.bam	0.0815050015517941	91	0.75
wtfucci-hyd-a1h5-f10-r5-c3_S191_.trimmed.mdup.bam	0.0781004654057801	123	0.99
wtfucci-hyd-a1h5-f10-r5-c1_S190_.trimmed.mdup.bam	0.0829473396345736	64	0.53
wtfucci-hyd-a1h5-f10-r4-c6_S189_.trimmed.mdup.bam	0.108220730731621	62	0.52
wtfucci-hyd-a1h5-f10-r4-c4_S188_.trimmed.mdup.bam	0.100499075178671	128	1.06
wtfucci-hyd-a1h5-f10-r4-c2_S187_.trimmed.mdup.bam	0.0977317533483474	92	0.77
wtfucci-hyd-a1h5-f10-r3-c7_S186_.trimmed.mdup.bam	0.132795756536648	48	0.41
wtfucci-hyd-a1h5-f10-r3-c5_S185_.trimmed.mdup.bam	0.104944744696297	98	0.82
wtfucci-hyd-a1h5-f10-r3-c3_S184_.trimmed.mdup.bam	0.0824943604311137	74	0.61
wtfucci-hyd-a1h5-f10-r3-c1_S183_.trimmed.mdup.bam	0.103734899700765	57	0.48
