file	RPM
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c2_S156_.trimmed.mdup.bam	125
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c3_S157_.trimmed.mdup.bam	294
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c4_S158_.trimmed.mdup.bam	239
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c5_S159_.trimmed.mdup.bam	233
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c6_S160_.trimmed.mdup.bam	296
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c7_S161_.trimmed.mdup.bam	175
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c1_S162_.trimmed.mdup.bam	111
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c2_S163_.trimmed.mdup.bam	159
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c3_S164_.trimmed.mdup.bam	50
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c4_S165_.trimmed.mdup.bam	142
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c5_S166_.trimmed.mdup.bam	270
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c6_S167_.trimmed.mdup.bam	119
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r3-c7_S168_.trimmed.mdup.bam	140
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c1_S169_.trimmed.mdup.bam	152
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c2_S170_.trimmed.mdup.bam	146
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c3_S171_.trimmed.mdup.bam	143
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c4_S172_.trimmed.mdup.bam	305
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c5_S173_.trimmed.mdup.bam	215
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c6_S174_.trimmed.mdup.bam	147
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r4-c7_S175_.trimmed.mdup.bam	96
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c1_S176_.trimmed.mdup.bam	24
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c2_S177_.trimmed.mdup.bam	113
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c3_S178_.trimmed.mdup.bam	300
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c4_S179_.trimmed.mdup.bam	288
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c5_S180_.trimmed.mdup.bam	169
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c6_S181_.trimmed.mdup.bam	74
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r5-c7_S182_.trimmed.mdup.bam	120
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c1_S183_.trimmed.mdup.bam	203
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c2_S184_.trimmed.mdup.bam	249
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c3_S185_.trimmed.mdup.bam	291
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c4_S186_.trimmed.mdup.bam	93
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c5_S187_.trimmed.mdup.bam	112
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c6_S188_.trimmed.mdup.bam	37
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r6-c7_S189_.trimmed.mdup.bam	84
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c1_S190_.trimmed.mdup.bam	240
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c2_S191_.trimmed.mdup.bam	199
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c3_S192_.trimmed.mdup.bam	133
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c4_S193_.trimmed.mdup.bam	161
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c5_S194_.trimmed.mdup.bam	53
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r7-c6_S195_.trimmed.mdup.bam	83
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c1_S197_.trimmed.mdup.bam	180
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c2_S198_.trimmed.mdup.bam	149
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c3_S199_.trimmed.mdup.bam	138
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c4_S200_.trimmed.mdup.bam	169
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c5_S201_.trimmed.mdup.bam	112
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c6_S202_.trimmed.mdup.bam	98
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r1-c7_S203_.trimmed.mdup.bam	102
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c1_S204_.trimmed.mdup.bam	121
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c2_S205_.trimmed.mdup.bam	99
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c3_S206_.trimmed.mdup.bam	145
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c4_S207_.trimmed.mdup.bam	144
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c5_S208_.trimmed.mdup.bam	104
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c6_S209_.trimmed.mdup.bam	95
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r2-c7_S210_.trimmed.mdup.bam	97
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c1_S211_.trimmed.mdup.bam	83
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c2_S212_.trimmed.mdup.bam	107
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c3_S213_.trimmed.mdup.bam	42
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c4_S214_.trimmed.mdup.bam	97
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c5_S215_.trimmed.mdup.bam	10
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c6_S216_.trimmed.mdup.bam	61
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r3-c7_S217_.trimmed.mdup.bam	69
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c1_S218_.trimmed.mdup.bam	75
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c2_S219_.trimmed.mdup.bam	86
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c3_S220_.trimmed.mdup.bam	4
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c4_S221_.trimmed.mdup.bam	73
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c5_S222_.trimmed.mdup.bam	64
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c6_S223_.trimmed.mdup.bam	79
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r4-c7_S224_.trimmed.mdup.bam	56
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c1_S225_.trimmed.mdup.bam	8
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c2_S226_.trimmed.mdup.bam	44
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c3_S227_.trimmed.mdup.bam	156
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c4_S228_.trimmed.mdup.bam	93
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c5_S229_.trimmed.mdup.bam	106
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c6_S230_.trimmed.mdup.bam	57
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r5-c7_S231_.trimmed.mdup.bam	69
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c1_S232_.trimmed.mdup.bam	63
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c2_S233_.trimmed.mdup.bam	86
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c3_S234_.trimmed.mdup.bam	113
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c4_S235_.trimmed.mdup.bam	62
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c5_S236_.trimmed.mdup.bam	95
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c6_S237_.trimmed.mdup.bam	39
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r6-c7_S238_.trimmed.mdup.bam	42
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c1_S239_.trimmed.mdup.bam	87
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c2_S240_.trimmed.mdup.bam	91
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c3_S241_.trimmed.mdup.bam	64
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c4_S242_.trimmed.mdup.bam	94
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c5_S243_.trimmed.mdup.bam	60
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f9-r7-c6_S244_.trimmed.mdup.bam	44
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r2-c2_S451_.trimmed.mdup.bam	188
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r2-c3_S452_.trimmed.mdup.bam	164
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r2-c4_S453_.trimmed.mdup.bam	144
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r2-c5_S454_.trimmed.mdup.bam	155
April_29_2021_NextSeq_na12878-fdu-a1-ke-single-f10-r2-c6_S455_.trimmed.mdup.bam	127
